company_name,money,set
Walsh Construction,610000000,1
James McHugh Construction,459000000,1
Lendlease,354000000,1
Power Construction,347000000,1
W.E. O'Neil Construction,307000000,1
"F.H. Paschen, S.N. Neilsen",114000000,1
Leopardo Companies,113000000,1
M.A. Mortenson,107000000,1
Clayco,76000000,1
Macon Construction Group,73000000,1
Lend Lease (US) Construction,301765000,2
Power Construction Company,214409258,2
Executive Construction,188330840,2
Turner Construction Company,126920750,2
LR Contracting Company,123561266,2
Pepper Construction Company,110984614,2
Onni Contracting (Chicago),103480000,2
Hunt Construction Group,99000000,2
James McHugh Construction,98855000,2
Skender Construction,93665505,2
